country,membership,tc_participation,pdc_participation
Afghanistan,Member body,5,1
Albania,Correspondent member,5,4
Algeria,Member body,68,3
Angola,Correspondent member,4,2
Antigua and Barbuda,Subscriber member,4,1
Argentina,Member body,373,4
Armenia,Member body,59,3
Australia,Member body,361,5
Austria,Member body,535,3
Azerbaijan,Member body,11,4
Bahamas,Correspondent member,5,1
Bahrain,Member body,22,2
Bangladesh,Member body,26,2
Barbados,Member body,37,4
Belarus,Member body,170,4
Belgium,Member body,577,3
Belize,Subscriber member,2,1
Benin,Member body,2,1
Bhutan,Correspondent member,17,2
"Bolivia, Plurinational State of",Correspondent member,16,3
Bosnia and Herzegovina,Member body,93,4
Botswana,Member body,35,3
Brazil,Member body,259,5
Brunei Darussalam,Correspondent member,5,4
Bulgaria,Member body,340,4
Burkina Faso,Member body,3,1
Burundi,Correspondent member,11,3
Cambodia,Correspondent member,7,1
Cameroon,Member body,36,4
Canada,Member body,361,4
Chile,Member body,163,4
China,Member body,726,5
Colombia,Member body,159,3
"Congo, The Democratic Republic of the",Member body,30,2
Costa Rica,Member body,39,3
C̫te d'Ivoire,Member body,54,3
Croatia,Member body,180,3
Cuba,Member body,203,4
Cyprus,Member body,104,2
Czech Republic,Member body,674,4
Denmark,Member body,337,4
Dominica,Correspondent member,8,3
Dominican Republic,Member body,7,3
Ecuador,Member body,48,3
Egypt,Member body,324,4
El Salvador,Member body,12,3
Eritrea,Correspondent member,4,1
Estonia,Member body,99,2
Ethiopia,Member body,67,3
Fiji,Member body,9,3
Finland,Member body,586,5
France,Member body,738,5
Gabon,Member body,19,3
Gambia,Correspondent member,4,3
Georgia,Correspondent member,7,2
Germany,Member body,729,5
Ghana,Member body,34,3
Greece,Member body,207,4
Guatemala,Correspondent member,5,2
Guinea,Correspondent member,0,0
Guyana,Correspondent member,5,1
Haiti,Correspondent member,4,1
Honduras,Correspondent member,3,2
Hong Kong,Correspondent member,249,3
Hungary,Member body,501,4
Iceland,Member body,146,3
India,Member body,648,4
Indonesia,Member body,251,4
"Iran, Islamic Republic of",Member body,581,4
Iraq,Member body,41,4
Ireland,Member body,328,4
Israel,Member body,252,4
Italy,Member body,686,4
Jamaica,Member body,42,3
Japan,Member body,712,5
Jordan,Member body,41,3
Kazakhstan,Member body,108,4
Kenya,Member body,222,4
"Korea, Democratic People's Republic of",Member body,93,2
"Korea, Republic of",Member body,723,5
Kuwait,Member body,14,2
Kyrgyzstan,Correspondent member,3,1
Lao People's Democratic Republic,Correspondent member,5,0
Latvia,Member body,11,4
Lebanon,Member body,33,3
Lithuania,Member body,66,4
Luxembourg,Member body,99,4
Macao,Correspondent member,14,2
Madagascar,Correspondent member,2,1
Malawi,Member body,10,2
Malaysia,Member body,288,5
Mali,Member body,19,4
Malta,Member body,43,4
Mauritania,Correspondent member,11,2
Mauritius,Member body,71,3
Mexico,Member body,132,4
"Moldova, Republic of",Correspondent member,44,4
Mongolia,Member body,250,4
Montenegro,Correspondent member,68,2
Morocco,Member body,100,3
Mozambique,Correspondent member,8,3
Myanmar,Correspondent member,8,3
Namibia,Member body,19,4
Nepal,Member body,5,3
Netherlands,Member body,610,4
New Zealand,Member body,178,4
Nicaragua,Correspondent member,0,2
Niger,Correspondent member,4,1
Nigeria,Member body,63,3
Norway,Member body,329,3
Oman,Member body,24,3
Pakistan,Member body,205,3
"Palestine, State of",Correspondent member,13,3
Panama,Member body,59,3
Papua New Guinea,Correspondent member,4,1
Paraguay,Correspondent member,0,1
Peru,Member body,46,4
Philippines,Member body,135,3
Poland,Member body,637,4
Portugal,Member body,425,4
Qatar,Member body,39,3
Romania,Member body,682,4
Russian Federation,Member body,647,5
Rwanda,Member body,29,2
Saint Kitts and Nevis,Correspondent member,4,2
Saint Lucia,Member body,6,3
Saint Vincent and the Grenadines,Subscriber member,5,0
Saudi Arabia,Member body,215,4
Senegal,Member body,18,3
Serbia,Member body,476,4
Seychelles,Correspondent member,20,3
Sierra Leone,Correspondent member,6,2
Singapore,Member body,165,3
Slovakia,Member body,475,3
Slovenia,Member body,101,4
South Africa,Member body,429,5
Spain,Member body,641,4
Sri Lanka,Member body,195,3
Sudan,Member body,15,3
Swaziland,Correspondent member,13,3
Sweden,Member body,556,5
Switzerland,Member body,562,5
Syrian Arab Republic,Member body,3,0
Tajikistan,Correspondent member,9,1
"Tanzania, United Republic of",Member body,161,4
Thailand,Member body,308,4
The Former Yugoslav Republic of Macedonia,Member body,12,2
Trinidad and Tobago,Member body,62,3
Tunisia,Member body,168,4
Turkey,Member body,380,4
Turkmenistan,Correspondent member,5,2
Uganda,Member body,44,2
Ukraine,Member body,336,4
United Arab Emirates,Member body,43,3
United Kingdom,Member body,737,5
United States,Member body,593,5
Uruguay,Member body,52,3
Uzbekistan,Member body,8,2
Viet Nam,Member body,87,4
Yemen,Member body,12,1
Zambia,Correspondent member,26,3
Zimbabwe,Member body,52,3
